username,comment,comment_cleansing
@ilhama7645,"['kpk', 'mana', 'jaksa', 'agung', 'mulu', 'gerak', 'sampah', 'kak']",kpk mana jaksa agung mulu gerak sampah kak
@SyawalAulia-nk7ru,"['pertamina', 'rugi']",pertamina rugi
@alifahshabrina9953,"['periksa', 'komisaris', 'pertamina', 'ahok', 'basuki', 'cahya', 'purnama', 'enggak', 'tau', 'anak', 'buah', 'korupsi']",periksa komisaris pertamina ahok basuki cahya purnama enggak tau anak buah korupsi
@anakkampungan4973,"['penjara', 'hukum', 'indonesia']",penjara hukum indonesia
@HURIWARDAHNIHAYATI,"['tampang', 'maling', 'generasi', 'milinial', 'ngeri', 'motif', 'operandinya', 'canggih', 'brutal']",tampang maling generasi milinial ngeri motif operandinya canggih brutal
@elsyeahmadahmadandalas5884,"['usir', 'bangsa', 'yaman', 'rusak', 'negara', 'bangsa', 'indonesia', 'anies', 'sarita', 'bahar', 'lutfi', 'yahya', 'dirut', 'pertamina', 'enggak', 'tau', 'malu', 'kerja', 'nipu', 'maling', 'bohong', 'perhati', 'jual', 'agama', 'tipu', 'deportasi', 'mohon', 'presiden', 'jenderal', 'prabowo', 'assegaf', 'yaman', 'numpang', 'negara', 'orang', 'maling']",usir bangsa yaman rusak negara bangsa indonesia anies sarita bahar lutfi yahya dirut pertamina enggak tau malu kerja nipu maling bohong perhati jual agama tipu deportasi mohon presiden jenderal prabowo assegaf yaman numpang negara orang maling
@ah_channel007,"['negara', 'rugi', 'negara', 'rugi', 'negara', 'rugi', 'triliun', 'lupa', 'beli', 'minyak', 'rakyat', 'rakyat', 'rakyat', 'rugi', 'bro', 'beli', 'pertamax', 'pertalite', 'hitung', 'edar', 'minyak', 'hasil', 'sulap', 'bedebah', 'pertamina']",negara rugi negara rugi negara rugi triliun lupa beli minyak rakyat rakyat rakyat rugi bro beli pertamax pertalite hitung edar minyak hasil sulap bedebah pertamina
@abangmo8814,"['koruptor', 'masuk', 'penjara', 'enggak', 'kabar', 'rampas', 'aset']",koruptor masuk penjara enggak kabar rampas aset
@Dasini06-bg8uq,"['bahan', 'bakar', 'oli', 'mesin', 'pertamina', 'ikut', 'turun', 'kualitas', 'pilih', 'merk', 'motul', 'deh', 'cocok', 'nyaman']",bahan bakar oli mesin pertamina ikut turun kualitas pilih merk motul deh cocok nyaman
@NurdingGedug,"['enak', 'korupsi', 'indonesia', 'hukum', 'lemah']",enak korupsi indonesia hukum lemah
@nurhadiatma7594,"['negara', 'rugi', 'bos', 'masyarakat', 'tipu', 'produk']",negara rugi bos masyarakat tipu produk
@Masfery_007,"['kim', 'jong', 'un', 'kakak']",kim jong un kakak
@MUFXD,"['stop', 'tutup', 'bandit', 'pakai', 'masker']",stop tutup bandit pakai masker
@Jhonois,"['enggak', 'percaya', 'penjara', 'percaya', 'deh', 'korupsi', 'sepele', 'ribu', 't']",enggak percaya penjara percaya deh korupsi sepele ribu t
@Wleee28,"['jelema', 'garoblok', 'hukum', 'mati', 'koruptor']",jelema garoblok hukum mati koruptor
@melisayanti2026,"['pakai', 'tolong', 'hukum', 'mati', 'tolong', 'berpihk', 'rakyat']",pakai tolong hukum mati tolong berpihk rakyat
@dewandesa-r3q,"['brimob', 'polri', 'berani', 'kepung', 'jagung', 'lindung', 'tni', 'jaksa', 'agung']",brimob polri berani kepung jagung lindung tni jaksa agung
@IkhaSholekha,"['enggak', 'hukum', 'mati', 'korupsi', 'biar', 'kasih', 'efek', 'jera']",enggak hukum mati korupsi biar kasih efek jera
@ibu083,"['apbn', 'defisit', 'bumn', 'uang', 'korupsi', 'rame', 'luarbiasa']",apbn defisit bumn uang korupsi rame luarbiasa
@gairahadam5304,"['mantapz', 'tunggu']",mantapz tunggu
@belajarinternet7134,"['rugi', 'negara', 'resiko', 'bisnis', 'kak', 'resiko', 'bisnis', 'kak', 'salah', 'bukti', 'gratifikasi', 'sop', 'langgar']",rugi negara resiko bisnis kak resiko bisnis kak salah bukti gratifikasi sop langgar
@dodolliprett,"['yusuf', 'panik']",yusuf panik
@kuntardi4072,"['sabar', 'allah', 'swt', 'tidur']",sabar allah swt tidur
@ekosusilo7828,['miskin'],miskin
@pintaulindapintaulinda245,"['karen', 'muslimah', 'pikir', 'kristen', 'jabat', 'enggak', 'pakai', 'kerudung']",karen muslimah pikir kristen jabat enggak pakai kerudung
@Win_1003,"['lagu', 'abadi', 'pakai', 'hijab', 'kalo', 'sangka', 'koruptor', 'ha']",lagu abadi pakai hijab kalo sangka koruptor ha
@markuslolo,"['coba', 'tebak', 'penjara', 'a', 'b', 'potong', 'tahan', 'penjara', 'sikap', 'sopan', 'sidang', 'e', 'penjara', 'bapak', 'anak', 'bayi']",coba tebak penjara a b potong tahan penjara sikap sopan sidang e penjara bapak anak bayi
@rezapasha510,"['uang', 'negara', 'buk']",uang negara buk
@marvaabyu197,"['masak', 'cheff']",masak cheff
@muhammadoktario6433,"['dex', 'oplos', 'solar']",dex oplos solar
@waras7788,"['nyanyi', 'merdu', 'main']",nyanyi merdu main
@ceritahanturikko3070,"['wakil', 'rakyat', 'hukum', 'mati', 'titik', 'koma', 'enggak', 'pakai']",wakil rakyat hukum mati titik koma enggak pakai
@gairahadam5304,"['tunggu', 'sumberwaras', 'lapuk', 'malam', 'jamur', 'hilang']",tunggu sumberwaras lapuk malam jamur hilang
@Bening000,"['indonesia', 'darurat', 'koruptor', 'bagai', 'lini', 'perintah', 'main', 'korupsi', 'patut', 'dpr', 'uu', 'hukum', 'mati', 'koruptor', 'indonesia']",indonesia darurat koruptor bagai lini perintah main korupsi patut dpr uu hukum mati koruptor indonesia
@riskirido3967,"['naik', 'gaji', 'sigemoy', 'apa', 'naik', 'gaji', 'otak', 'korupsi', 'enggak', 'rubah', 'tegak', 'hukum', 'hukum', 'mati', 'sangka', 'korupsi', 'miskin']",naik gaji sigemoy apa naik gaji otak korupsi enggak rubah tegak hukum hukum mati sangka korupsi miskin
